hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
156,Sun,12,256.8254888,1048.0282856,1551.293696,415.8438456,798.1742992,308.385932,2568.5953984,478.4260728,1554.3314072,1996.8425936,216.6183792
157,Sun,13,238.5275352,1004.7028176,1486.7132104,397.0261656,764.759476,282.7042792,2483.2975432,484.734476,1533.4258608,1914.6630968,201.5194312
158,Sun,14,234.4503712,1000.114888,1475.8258384,405.9063184,773.0750984,263.3758336,2457.1499288,435.2081344,1556.8135488,1929.0451808,198.7236616
159,Sun,15,229.9430888,1056.3349472,1514.3572784,425.817216,834.7612456,258.2860992,2488.9428472,449.652944,1608.0424424,1910.1826968,193.0245928
160,Sun,16,234.1188216,1134.4910448,1503.7297696,455.4953856,918.7866672,266.5748392,2577.3590608,441.274596,1676.1714048,1937.9163728,196.8598152
161,Sun,17,251.3235576,1175.4598224,1534.2592152,495.6756128,1085.1618408,306.0382024,2578.9899264,485.4154968,1778.5933488,2059.5592328,219.2170112
162,Sun,18,271.9244368,1199.4837272,1546.8222568,527.3341192,1131.1486664,338.7092792,2611.6610032,553.6699104,1826.300648,2246.8041096,228.634812
163,Sun,19,276.351072,1214.502028,1574.0810104,511.2853264,1137.1165592,351.621792,2604.3489904,549.7092368,1842.8422848,2308.2214328,240.3017736
164,Sun,20,269.4243736,1198.0410384,1527.457968,471.965336,1075.9770208,334.4797816,2575.3249592,601.1621504,1824.732508,2294.8429584,231.2961696
165,Sun,21,275.0427952,1096.3807624,1453.1012496,430.1990472,1002.3013232,321.4418176,2422.7404568,543.5352456,1705.4373776,2158.0653072,239.522184
166,Sun,22,240.015028,976.3777288,1355.2224312,378.1816032,888.1586528,285.1505776,2189.1413616,522.2264632,1575.1831888,1999.9878344,213.087824
167,Sun,23,208.8224832,861.3479392,1226.6976768,350.3135152,827.7539,234.3966064,1953.7053024,493.2382752,1462.5011288,1827.1698456,174.3861288
